# Source: http://www.eso.org/observing/etc/doc/vlti/baseline/baselinedata.txt
#
#   Longitude: -70.40479659 degrees
#    Latitude: -24.62794830 degrees
#
# This list holds baseline lengths in meters, and position angles in degrees
# East of North (so they are *not* the "platform coordinates" (p,q), but
# already the much more useful E-W coordinates!
#
# name ; B[m]     ; PA [deg]
B1J3  ;  133.156  ;   38.280    ;    0.
B1J4  ;  142.444  ;   32.859    ;    0.
B1J5  ;  158.395  ;   26.018    ;    0.
B1J6  ;  176.187  ;   20.490    ;    0.
B1K0  ;  121.056  ;   63.419    ;    0.
B1L0  ;  129.010  ;   63.886    ;    0.
B1M0  ;  136.943  ;   64.302    ;    0.
B1U1  ;   48.671  ;   -9.534    ;    0.
B1U2  ;  100.245  ;    9.619    ;    0.
B1U3  ;  142.418  ;   19.175    ;    0.
B1U4  ;  153.880  ;   43.114    ;    0.
B2C0  ;   25.293  ;   -0.571    ;    0.
B2C1  ;   11.306  ;   25.977    ;    0.
B2C2  ;    7.989  ;   71.073    ;    0.
B2C3  ;   11.305  ;  116.052    ;    0.
B2D0  ;   33.941  ;   26.018    ;    0.
B2D1  ;   25.300  ;   89.459    ;    0.
B2D2  ;   33.943  ;  116.016    ;    0.
B2E0  ;   46.647  ;   40.059    ;    0.
B2G0  ;   60.931  ;   47.826    ;    0.
B2G1  ;   68.827  ;  106.548    ;    0.
B2G2  ;   73.751  ;   30.403    ;    0.
B2H0  ;   91.221  ;   55.759    ;    0.
B2I1  ;   97.314  ;   80.471    ;    0.
B2J1  ;  112.007  ;   71.006    ;    0.
B2J2  ;  114.548  ;   83.107    ;    0.
B2J3  ;  137.647  ;   35.478    ;    0.
B2J4  ;  147.521  ;   30.415    ;    0.
B2J5  ;  164.150  ;   24.043    ;    0.
B2J6  ;  182.433  ;   18.893    ;    0.
B2K0  ;  122.371  ;   59.703    ;    0.
B2L0  ;  130.245  ;   60.392    ;    0.
B2M0  ;  138.107  ;   61.004    ;    0.
B2U1  ;   56.578  ;  -10.864    ;    0.
B2U2  ;  107.337  ;    7.574    ;    0.
B2U3  ;  148.791  ;   17.271    ;    0.
B2U4  ;  157.782  ;   40.545    ;    0.
B3C0  ;   32.998  ;   -4.973    ;    0.
B3C1  ;   17.900  ;    7.524    ;    0.
B3C2  ;   11.313  ;   25.941    ;    0.
B3C3  ;    7.989  ;   70.880    ;    0.
B3D0  ;   40.014  ;   17.872    ;    0.
B3D1  ;   24.001  ;   70.983    ;    0.
B3D2  ;   28.836  ;  104.677    ;    0.
B3E0  ;   51.235  ;   32.346    ;    0.
B3G0  ;   64.511  ;   41.266    ;    0.
B3G1  ;   64.498  ;  100.741    ;    0.
B3G2  ;   79.204  ;   25.996    ;    0.
B3H0  ;   93.651  ;   51.021    ;    0.
B3I1  ;   96.322  ;   75.761    ;    0.
B3J1  ;  112.295  ;   66.912    ;    0.
B3J2  ;  113.141  ;   79.134    ;    0.
B3J3  ;  142.457  ;   32.853    ;    0.
B3J4  ;  152.860  ;   28.133    ;    0.
